BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
2000,1900000383,2024,RE,2024-11-25,2024-11-26,USD,4500090885
1000,1900000384,2025,RE,2024-06-22,2024-06-24,AED,4500090148
3000,1900000385,2024,RE,2024-09-18,2024-09-21,USD,4500091102
1000,1900000386,2024,RE,2025-12-04,2025-12-06,EUR,4500091560
3000,1900000387,2024,RE,2024-02-14,2024-02-19,USD,4500090769
1000,1900000388,2024,RE,2025-10-19,2025-10-21,AED,4500091003
2000,1900000389,2025,RE,2024-11-13,2024-11-18,USD,4500090117
2000,1900000390,2024,RE,2025-03-09,2025-03-09,AED,4500090494
2000,1900000391,2025,RE,2024-01-13,2024-01-18,EUR,4500090453
3000,1900000392,2024,RE,2025-05-07,2025-05-09,EUR,4500091812
2000,1900000393,2025,RE,2025-11-13,2025-11-14,EUR,4500091469
1000,1900000394,2025,RE,2024-12-12,2024-12-12,AED,4500091407
2000,1900000395,2025,RE,2024-03-12,2024-03-14,AED,4500091067
1000,1900000396,2024,RE,2025-03-02,2025-03-02,USD,4500091711
2000,1900000397,2024,RE,2024-09-01,2024-09-04,EUR,4500091158
2000,1900000398,2024,RE,2025-02-27,2025-02-27,AED,4500090642
3000,1900000399,2024,RE,2024-07-11,2024-07-12,EUR,4500091202
2000,1900000400,2024,RE,2025-09-13,2025-09-16,USD,4500090304
3000,1900000401,2025,RE,2025-08-04,2025-08-07,AED,4500091313
3000,1900000402,2024,RE,2025-05-08,2025-05-12,AED,4500091133
2000,1900000403,2025,RE,2024-08-17,2024-08-17,EUR,4500090174
2000,1900000404,2024,RE,2025-08-07,2025-08-08,USD,4500091451
2000,1900000405,2024,RE,2024-08-28,2024-08-28,AED,4500090864
2000,1900000406,2025,RE,2024-01-11,2024-01-11,AED,4500090830
3000,1900000407,2025,RE,2025-08-07,2025-08-11,AED,4500091542
2000,1900000408,2025,RE,2025-11-14,2025-11-16,AED,4500091713
2000,1900000409,2024,RE,2025-02-27,2025-02-28,USD,4500090355
1000,1900000410,2024,RE,2025-09-27,2025-10-02,AED,4500090931
1000,1900000411,2025,RE,2024-01-09,2024-01-14,AED,4500090003
2000,1900000412,2024,RE,2024-05-10,2024-05-12,EUR,4500090416
3000,1900000413,2025,RE,2025-01-25,2025-01-26,AED,4500090623
3000,1900000414,2024,RE,2025-02-27,2025-02-27,EUR,4500091611
2000,1900000415,2024,RE,2025-07-07,2025-07-07,USD,4500091977
1000,1900000416,2025,RE,2024-05-22,2024-05-27,USD,4500091364
3000,1900000417,2024,RE,2025-11-02,2025-11-03,USD,4500091454
2000,1900000418,2025,RE,2024-08-02,2024-08-07,AED,4500091628
3000,1900000419,2025,RE,2025-09-23,2025-09-25,AED,4500091333
2000,1900000420,2025,RE,2024-11-30,2024-12-04,AED,4500090848
2000,1900000421,2025,RE,2025-05-18,2025-05-22,USD,4500090411
2000,1900000422,2025,RE,2025-05-17,2025-05-19,EUR,4500090063
3000,1900000423,2024,RE,2025-12-28,2025-12-30,USD,4500091351
1000,1900000424,2025,RE,2025-02-28,2025-03-03,EUR,4500091951
2000,1900000425,2025,RE,2024-09-12,2024-09-12,USD,4500091665
2000,1900000426,2024,RE,2025-12-18,2025-12-21,EUR,4500091617
2000,1900000427,2025,RE,2024-03-14,2024-03-18,AED,4500091629
1000,1900000428,2025,RE,2024-06-22,2024-06-22,USD,4500091039
3000,1900000429,2025,RE,2025-03-28,2025-03-31,USD,4500090566
2000,1900000430,2024,RE,2024-12-26,2024-12-29,AED,4500091486
1000,1900000431,2025,RE,2024-05-17,2024-05-22,AED,4500091847
2000,1900000432,2024,RE,2025-07-31,2025-08-05,AED,4500091344
2000,1900000433,2025,RE,2025-08-17,2025-08-19,EUR,4500091150
2000,1900000434,2024,RE,2025-02-23,2025-02-26,AED,4500090938
3000,1900000435,2024,RE,2024-02-04,2024-02-09,EUR,4500091280
1000,1900000436,2024,RE,2025-03-30,2025-04-03,AED,4500091475
1000,1900000437,2025,RE,2024-04-29,2024-05-03,AED,4500090785
3000,1900000438,2024,RE,2024-04-18,2024-04-22,USD,4500090062
1000,1900000439,2025,RE,2025-07-01,2025-07-01,AED,4500091444
3000,1900000440,2025,RE,2024-08-16,2024-08-21,USD,4500090059
2000,1900000441,2024,RE,2025-08-14,2025-08-18,AED,4500090323
3000,1900000442,2024,RE,2024-01-18,2024-01-19,EUR,4500090907
3000,1900000443,2024,RE,2025-01-19,2025-01-21,AED,4500091030
3000,1900000444,2025,RE,2024-01-03,2024-01-05,EUR,4500091186
1000,1900000445,2025,RE,2024-07-17,2024-07-21,EUR,4500091718
3000,1900000446,2025,RE,2024-07-25,2024-07-29,AED,4500090800
1000,1900000447,2025,RE,2025-07-16,2025-07-21,EUR,4500090554
1000,1900000448,2024,RE,2025-05-29,2025-06-01,AED,4500091546
2000,1900000449,2024,RE,2024-04-06,2024-04-07,USD,4500090676
1000,1900000450,2024,RE,2025-05-22,2025-05-26,EUR,4500090261
3000,1900000451,2024,RE,2024-04-02,2024-04-04,AED,4500090105
3000,1900000452,2024,RE,2025-08-16,2025-08-21,AED,4500090083
3000,1900000453,2025,RE,2024-11-23,2024-11-25,USD,4500090429
2000,1900000454,2024,RE,2024-09-06,2024-09-09,EUR,4500091491
1000,1900000455,2025,RE,2024-04-17,2024-04-18,EUR,4500091135
3000,1900000456,2025,RE,2024-05-26,2024-05-26,EUR,4500090138
2000,1900000457,2025,RE,2025-07-08,2025-07-13,AED,4500090257
2000,1900000458,2024,RE,2024-03-29,2024-04-02,EUR,4500091290
1000,1900000459,2024,RE,2024-01-15,2024-01-19,AED,4500091231
1000,1900000460,2024,RE,2025-08-01,2025-08-04,EUR,4500091691
3000,1900000461,2025,RE,2024-09-09,2024-09-13,USD,4500091557
1000,1900000462,2025,RE,2024-02-07,2024-02-12,USD,4500090797
1000,1900000463,2025,RE,2024-03-13,2024-03-14,USD,4500091182
2000,1900000464,2025,RE,2025-04-26,2025-04-30,USD,4500091155
1000,1900000465,2025,RE,2025-06-06,2025-06-07,USD,4500090043
3000,1900000466,2025,RE,2025-12-01,2025-12-04,EUR,4500091297
3000,1900000467,2025,RE,2024-01-05,2024-01-08,USD,4500090496
3000,1900000468,2024,RE,2024-08-16,2024-08-16,EUR,4500090667
1000,1900000469,2024,RE,2025-04-04,2025-04-07,AED,4500090698
2000,1900000470,2025,RE,2024-02-04,2024-02-05,EUR,4500091131
2000,1900000471,2025,RE,2024-10-03,2024-10-03,AED,4500090654
2000,1900000472,2025,RE,2024-08-02,2024-08-05,USD,4500091391
2000,1900000473,2025,RE,2024-06-22,2024-06-24,AED,4500091217
3000,1900000474,2024,RE,2025-04-21,2025-04-21,AED,4500090662
1000,1900000475,2024,RE,2025-01-07,2025-01-07,EUR,4500091941
2000,1900000476,2024,RE,2024-06-30,2024-07-02,EUR,4500090926
3000,1900000477,2025,RE,2025-06-14,2025-06-18,AED,4500091388
2000,1900000478,2025,RE,2025-09-10,2025-09-14,USD,4500091340
1000,1900000479,2025,RE,2024-04-24,2024-04-26,EUR,4500091560
3000,1900000480,2025,RE,2024-03-17,2024-03-19,USD,4500091112
3000,1900000481,2025,RE,2025-10-26,2025-10-28,USD,4500091012
2000,1900000482,2025,RE,2024-08-02,2024-08-02,USD,4500090414
3000,1900000483,2025,RE,2024-06-30,2024-07-03,AED,4500090662
3000,1900000484,2025,RE,2024-12-18,2024-12-21,AED,4500091887
1000,1900000485,2025,RE,2024-06-03,2024-06-04,AED,4500091592
3000,1900000486,2025,RE,2025-04-07,2025-04-07,AED,4500090571
3000,1900000487,2024,RE,2025-06-27,2025-07-02,EUR,4500091479
1000,1900000488,2025,RE,2024-07-26,2024-07-27,EUR,4500090015
2000,1900000489,2024,RE,2025-11-12,2025-11-16,AED,4500090181
2000,1900000490,2025,RE,2025-08-16,2025-08-19,AED,4500091862
2000,1900000491,2025,RE,2024-08-08,2024-08-13,AED,4500091481
3000,1900000492,2025,RE,2024-10-12,2024-10-15,AED,4500090705
3000,1900000493,2024,RE,2024-07-12,2024-07-12,EUR,4500091078
2000,1900000494,2025,RE,2025-12-30,2025-12-31,AED,4500090184
3000,1900000495,2025,RE,2025-02-05,2025-02-06,EUR,4500091543
3000,1900000496,2025,RE,2024-10-08,2024-10-10,USD,4500091866
3000,1900000497,2024,RE,2025-07-05,2025-07-09,USD,4500091255
2000,1900000498,2024,RE,2024-08-25,2024-08-27,EUR,4500091568
3000,1900000499,2024,RE,2025-05-01,2025-05-02,EUR,4500091034
1000,1900000500,2025,RE,2025-08-16,2025-08-20,AED,4500090631
2000,1900000501,2025,RE,2025-08-21,2025-08-26,USD,4500091696
2000,1900000502,2025,RE,2025-01-10,2025-01-10,USD,4500090302
2000,1900000503,2025,RE,2024-11-17,2024-11-20,USD,4500090835
1000,1900000504,2024,RE,2025-11-27,2025-12-01,AED,4500090791
3000,1900000505,2025,RE,2025-01-05,2025-01-09,USD,4500090041
3000,1900000506,2025,RE,2025-11-11,2025-11-12,AED,4500090956
3000,1900000507,2024,RE,2025-07-21,2025-07-23,AED,4500090499
2000,1900000508,2024,RE,2024-06-04,2024-06-08,AED,4500091524
1000,1900000509,2025,RE,2024-11-15,2024-11-19,AED,4500091435
2000,1900000510,2025,RE,2025-10-08,2025-10-08,AED,4500090576
3000,1900000511,2025,RE,2024-02-05,2024-02-06,USD,4500091758
1000,1900000512,2024,RE,2025-01-19,2025-01-22,AED,4500090795
3000,1900000513,2024,RE,2024-11-21,2024-11-23,USD,4500090561
2000,1900000514,2025,RE,2025-01-22,2025-01-23,USD,4500091260
3000,1900000515,2024,RE,2024-11-15,2024-11-19,EUR,4500091298
2000,1900000516,2024,RE,2025-11-06,2025-11-06,AED,4500091530
3000,1900000517,2025,RE,2025-10-14,2025-10-14,USD,4500090857
1000,1900000518,2025,RE,2025-10-01,2025-10-01,USD,4500091046
2000,1900000519,2024,RE,2024-01-25,2024-01-28,USD,4500090568
1000,1900000520,2025,RE,2024-08-14,2024-08-15,EUR,4500090963
3000,1900000521,2025,RE,2024-06-05,2024-06-06,USD,4500091866
1000,1900000522,2024,RE,2024-01-15,2024-01-18,EUR,4500091520
1000,1900000523,2024,RE,2024-06-24,2024-06-28,AED,4500091407
2000,1900000524,2025,RE,2024-12-20,2024-12-25,EUR,4500091354
2000,1900000525,2024,RE,2024-09-15,2024-09-19,USD,4500090888
3000,1900000526,2025,RE,2024-09-17,2024-09-20,EUR,4500091023
3000,1900000527,2025,RE,2024-06-23,2024-06-27,EUR,4500091506
3000,1900000528,2025,RE,2024-07-01,2024-07-02,EUR,4500091543
2000,1900000529,2024,RE,2025-10-31,2025-11-01,EUR,4500090147
3000,1900000530,2025,RE,2025-02-05,2025-02-09,EUR,4500090226
2000,1900000531,2024,RE,2024-12-08,2024-12-08,EUR,4500091243
1000,1900000532,2024,RE,2025-09-06,2025-09-06,EUR,4500091459
2000,1900000533,2025,RE,2025-12-05,2025-12-06,EUR,4500090505
1000,1900000534,2025,RE,2024-06-04,2024-06-05,EUR,4500090513
2000,1900000535,2025,RE,2025-11-26,2025-11-27,USD,4500090096
2000,1900000536,2025,RE,2024-09-29,2024-09-30,EUR,4500091220
1000,1900000537,2024,RE,2024-01-27,2024-01-31,EUR,4500090039
3000,1900000538,2025,RE,2025-11-02,2025-11-03,EUR,4500090588
1000,1900000539,2025,RE,2024-12-06,2024-12-06,AED,4500090653
1000,1900000540,2024,RE,2024-04-18,2024-04-20,AED,4500091750
2000,1900000541,2025,RE,2025-04-22,2025-04-25,EUR,4500090256
3000,1900000542,2024,RE,2024-09-20,2024-09-23,AED,4500090989
2000,1900000543,2024,RE,2024-05-07,2024-05-10,USD,4500091416
3000,1900000544,2025,RE,2024-12-31,2025-01-03,EUR,4500090410
2000,1900000545,2024,RE,2025-05-13,2025-05-14,USD,4500090811
2000,1900000546,2025,RE,2025-03-29,2025-03-30,AED,4500090772
2000,1900000547,2025,RE,2025-04-26,2025-04-28,EUR,4500091743
3000,1900000548,2024,RE,2025-03-22,2025-03-26,USD,4500091112
3000,1900000549,2025,RE,2025-06-30,2025-07-05,AED,4500091720
1000,1900000550,2025,RE,2025-01-08,2025-01-08,AED,4500090442
3000,1900000551,2025,RE,2025-01-17,2025-01-18,AED,4500090989
1000,1900000552,2024,RE,2025-11-13,2025-11-18,USD,4500091915
1000,1900000553,2024,RE,2024-11-18,2024-11-19,AED,4500091071
2000,1900000554,2024,RE,2025-01-29,2025-01-31,EUR,4500090692
2000,1900000555,2025,RE,2024-01-12,2024-01-13,AED,4500091548
2000,1900000556,2024,RE,2025-12-15,2025-12-18,EUR,4500091227
1000,1900000557,2025,RE,2025-07-26,2025-07-29,EUR,4500090370
3000,1900000558,2024,RE,2025-09-26,2025-09-30,AED,4500090190
3000,1900000559,2025,RE,2024-07-25,2024-07-30,USD,4500090557
1000,1900000560,2025,RE,2025-09-22,2025-09-22,AED,4500090564
2000,1900000561,2025,RE,2025-02-02,2025-02-04,AED,4500090746
2000,1900000562,2025,RE,2024-02-02,2024-02-07,EUR,4500090192
1000,1900000563,2024,RE,2025-02-15,2025-02-19,USD,4500090962
3000,1900000564,2025,RE,2024-01-21,2024-01-23,AED,4500091062
1000,1900000565,2025,RE,2024-10-11,2024-10-12,EUR,4500090879
3000,1900000566,2025,RE,2025-11-07,2025-11-11,AED,4500091838
1000,1900000567,2025,RE,2025-08-25,2025-08-25,EUR,4500091951
3000,1900000568,2024,RE,2024-03-12,2024-03-12,AED,4500090840
1000,1900000569,2025,RE,2025-03-05,2025-03-08,AED,4500091138
1000,1900000570,2024,RE,2025-05-03,2025-05-08,USD,4500090788
1000,1900000571,2025,RE,2025-07-29,2025-08-02,USD,4500090340
1000,1900000572,2025,RE,2025-11-20,2025-11-24,AED,4500090528
3000,1900000573,2024,RE,2025-12-13,2025-12-15,AED,4500090598
3000,1900000574,2024,RE,2024-08-20,2024-08-20,EUR,4500090395
2000,1900000575,2024,RE,2024-05-06,2024-05-10,USD,4500091841
2000,1900000576,2025,RE,2025-03-21,2025-03-25,AED,4500091009
1000,1900000577,2025,RE,2024-01-03,2024-01-03,EUR,4500090554
3000,1900000578,2024,RE,2024-06-01,2024-06-02,AED,4500090756
2000,1900000579,2025,RE,2024-02-11,2024-02-14,EUR,4500090639
3000,1900000580,2025,RE,2024-06-29,2024-07-04,EUR,4500091073
3000,1900000581,2024,RE,2024-07-30,2024-08-04,USD,4500090315
3000,1900000582,2025,RE,2024-04-27,2024-05-02,EUR,4500091835
2000,1900000583,2025,RE,2024-11-25,2024-11-27,USD,4500090835
2000,1900000584,2025,RE,2025-11-14,2025-11-19,AED,4500091712
3000,1900000585,2025,RE,2024-07-11,2024-07-15,AED,4500091719
2000,1900000586,2024,RE,2025-05-22,2025-05-25,AED,4500091630
1000,1900000587,2025,RE,2024-04-19,2024-04-22,EUR,4500090004
1000,1900000588,2024,RE,2024-06-10,2024-06-12,EUR,4500090526
2000,1900000589,2024,RE,2024-04-11,2024-04-14,USD,4500090247
2000,1900000590,2024,RE,2024-01-01,2024-01-04,USD,4500090302
3000,1900000591,2025,RE,2025-12-06,2025-12-09,USD,4500091178
3000,1900000592,2025,RE,2024-10-29,2024-10-30,AED,4500090840
1000,1900000593,2025,RE,2025-10-06,2025-10-06,EUR,4500090431
1000,1900000594,2025,RE,2024-06-20,2024-06-23,EUR,4500090277
3000,1900000595,2024,RE,2025-10-17,2025-10-18,USD,4500091947
1000,1900000596,2024,RE,2025-05-09,2025-05-10,AED,4500090862
3000,1900000597,2025,RE,2025-06-08,2025-06-09,AED,4500090786
3000,1900000598,2025,RE,2025-02-04,2025-02-09,USD,4500090892
1000,1900000599,2025,RE,2024-07-08,2024-07-11,USD,4500090067
2000,1900000600,2025,RE,2025-04-27,2025-04-28,USD,4500091436
1000,1900000601,2025,RE,2025-03-18,2025-03-21,USD,4500091670
3000,1900000602,2024,RE,2024-08-27,2024-09-01,EUR,4500091343
2000,1900000603,2025,RE,2025-08-01,2025-08-03,USD,4500091416
3000,1900000604,2025,RE,2025-03-20,2025-03-20,AED,4500091935
1000,1900000605,2024,RE,2025-06-15,2025-06-15,AED,4500091821
2000,1900000606,2024,RE,2025-03-30,2025-04-03,USD,4500090457
1000,1900000607,2024,RE,2025-01-16,2025-01-17,EUR,4500090730
2000,1900000608,2024,RE,2024-12-22,2024-12-27,AED,4500090902
3000,1900000609,2025,RE,2024-02-06,2024-02-10,USD,4500091275
2000,1900000610,2024,RE,2024-07-14,2024-07-16,AED,4500090189
1000,1900000611,2025,RE,2025-07-28,2025-07-31,USD,4500091910
1000,1900000612,2024,RE,2025-01-27,2025-02-01,USD,4500090882
1000,1900000613,2024,RE,2025-08-24,2025-08-27,AED,4500090178
2000,1900000614,2025,RE,2025-08-25,2025-08-27,EUR,4500091797
2000,1900000615,2024,RE,2024-09-14,2024-09-16,AED,4500091643
1000,1900000616,2025,RE,2025-03-09,2025-03-14,EUR,4500091278
2000,1900000617,2025,RE,2025-02-10,2025-02-12,EUR,4500090853
3000,1900000618,2025,RE,2025-03-17,2025-03-19,USD,4500091922
2000,1900000619,2025,RE,2025-04-05,2025-04-05,USD,4500091849
2000,1900000620,2025,RE,2024-04-20,2024-04-21,EUR,4500090552
1000,1900000621,2025,RE,2025-09-07,2025-09-12,AED,4500091585
1000,1900000622,2025,RE,2025-10-25,2025-10-30,USD,4500091364
1000,1900000623,2024,RE,2025-09-07,2025-09-08,USD,4500091055
3000,1900000624,2025,RE,2025-08-29,2025-09-02,AED,4500090662
1000,1900000625,2025,RE,2024-10-01,2024-10-01,EUR,4500090085
1000,1900000626,2025,RE,2025-07-20,2025-07-25,EUR,4500090696
3000,1900000627,2025,RE,2025-12-28,2025-12-29,AED,4500090771
2000,1900000628,2024,RE,2024-04-18,2024-04-19,EUR,4500091299
1000,1900000629,2024,RE,2024-01-23,2024-01-24,AED,4500091164
2000,1900000630,2024,RE,2025-04-03,2025-04-06,AED,4500091854
1000,1900000631,2025,RE,2024-12-21,2024-12-25,USD,4500090305
3000,1900000632,2024,RE,2024-09-30,2024-10-04,AED,4500090105
3000,1900000633,2024,RE,2024-06-25,2024-06-28,EUR,4500091226
1000,1900000634,2024,RE,2024-09-22,2024-09-27,EUR,4500090458
1000,1900000635,2025,RE,2024-05-02,2024-05-05,USD,4500091465
2000,1900000636,2024,RE,2025-08-11,2025-08-15,EUR,4500090432
3000,1900000637,2025,RE,2025-11-22,2025-11-25,AED,4500091898
2000,1900000638,2024,RE,2025-01-29,2025-01-30,USD,4500090720
2000,1900000639,2025,RE,2024-05-10,2024-05-11,USD,4500091626
1000,1900000640,2024,RE,2024-09-17,2024-09-17,USD,4500091878
2000,1900000641,2025,RE,2025-01-06,2025-01-09,AED,4500091668
3000,1900000642,2024,RE,2024-11-26,2024-11-30,EUR,4500091527
1000,1900000643,2024,RE,2024-10-04,2024-10-09,EUR,4500091061
1000,1900000644,2025,RE,2025-06-11,2025-06-15,AED,4500091383
3000,1900000645,2024,RE,2025-03-19,2025-03-23,AED,4500091207
1000,1900000646,2025,RE,2025-09-04,2025-09-07,AED,4500090758
3000,1900000647,2024,RE,2025-07-05,2025-07-06,AED,4500090284
2000,1900000648,2025,RE,2024-05-05,2024-05-09,EUR,4500090472
3000,1900000649,2025,RE,2025-07-28,2025-08-02,USD,4500091300
2000,1900000650,2025,RE,2024-03-31,2024-04-03,USD,4500091830
1000,1900000651,2025,RE,2025-01-06,2025-01-06,AED,4500090266
1000,1900000652,2024,RE,2025-01-08,2025-01-13,AED,4500090931
2000,1900000653,2024,RE,2024-03-15,2024-03-15,AED,4500091426
1000,1900000654,2025,RE,2025-06-25,2025-06-28,USD,4500091507
1000,1900000655,2024,RE,2025-10-17,2025-10-20,AED,4500091819
2000,1900000656,2025,RE,2024-02-22,2024-02-27,EUR,4500091322
1000,1900000657,2024,RE,2024-08-23,2024-08-27,AED,4500090604
3000,1900000658,2025,RE,2025-10-19,2025-10-23,EUR,4500090036
3000,1900000659,2025,RE,2024-10-16,2024-10-17,AED,4500090385
2000,1900000660,2025,RE,2024-05-17,2024-05-19,AED,4500091927
3000,1900000661,2025,RE,2025-04-11,2025-04-14,EUR,4500090923
1000,1900000662,2025,RE,2025-11-05,2025-11-09,AED,4500090337
1000,1900000663,2025,RE,2024-10-15,2024-10-19,AED,4500090204
3000,1900000664,2025,RE,2025-08-19,2025-08-22,AED,4500090388
3000,1900000665,2025,RE,2024-01-17,2024-01-22,AED,4500090361
1000,1900000666,2025,RE,2025-12-09,2025-12-13,USD,4500091843
2000,1900000667,2025,RE,2025-04-02,2025-04-05,EUR,4500091621
3000,1900000668,2024,RE,2024-05-13,2024-05-18,EUR,4500091077
3000,1900000669,2024,RE,2025-03-05,2025-03-10,AED,4500090635
1000,1900000670,2025,RE,2025-10-22,2025-10-25,USD,4500091528
2000,1900000671,2024,RE,2024-03-21,2024-03-22,EUR,4500091469
1000,1900000672,2025,RE,2025-08-22,2025-08-23,AED,4500091597
2000,1900000673,2025,RE,2024-06-26,2024-06-27,AED,4500090686
1000,1900000674,2025,RE,2025-04-16,2025-04-17,AED,4500090178
2000,1900000675,2024,RE,2025-08-20,2025-08-23,EUR,4500091381
3000,1900000676,2024,RE,2025-05-05,2025-05-09,EUR,4500091167
3000,1900000677,2024,RE,2025-10-22,2025-10-22,USD,4500090041
3000,1900000678,2025,RE,2025-02-21,2025-02-26,AED,4500090364
2000,1900000679,2024,RE,2025-05-15,2025-05-17,AED,4500090654
1000,1900000680,2025,RE,2025-03-31,2025-03-31,AED,4500091157
1000,1900000681,2024,RE,2024-09-28,2024-10-03,USD,4500090016
3000,1900000682,2024,RE,2024-06-27,2024-06-30,EUR,4500090558
3000,1900000683,2024,RE,2025-11-06,2025-11-07,USD,4500090867
1000,1900000684,2025,RE,2024-04-27,2024-04-30,AED,4500091945
3000,1900000685,2025,RE,2024-09-19,2024-09-20,AED,4500090368
2000,1900000686,2024,RE,2025-01-17,2025-01-22,USD,4500091934
1000,1900000687,2025,RE,2024-05-13,2024-05-16,EUR,4500090513
1000,1900000688,2024,RE,2024-03-12,2024-03-12,USD,4500090098
1000,1900000689,2024,RE,2025-05-03,2025-05-03,AED,4500090525
1000,1900000690,2025,RE,2025-02-26,2025-02-26,USD,4500090061
2000,1900000691,2024,RE,2025-02-07,2025-02-10,AED,4500091725
3000,1900000692,2024,RE,2024-04-02,2024-04-05,EUR,4500090971
1000,1900000693,2024,RE,2025-05-27,2025-06-01,EUR,4500090754
1000,1900000694,2024,RE,2024-07-20,2024-07-23,AED,4500090314
1000,1900000695,2024,RE,2025-06-28,2025-07-01,USD,4500091809
2000,1900000696,2025,RE,2025-04-30,2025-05-04,AED,4500090655
3000,1900000697,2025,RE,2025-10-30,2025-11-03,EUR,4500091070
1000,1900000698,2025,RE,2025-11-25,2025-11-25,AED,4500091940
2000,1900000699,2024,RE,2024-08-30,2024-08-30,AED,4500091344
3000,1900000700,2025,RE,2024-09-18,2024-09-19,AED,4500090807
2000,1900000701,2025,RE,2024-12-10,2024-12-13,USD,4500091289
1000,1900000702,2024,RE,2025-02-03,2025-02-04,EUR,4500091335
2000,1900000703,2025,RE,2025-02-02,2025-02-04,USD,4500090734
1000,1900000704,2025,RE,2024-04-20,2024-04-20,EUR,4500091718
2000,1900000705,2025,RE,2025-11-17,2025-11-22,USD,4500091533
2000,1900000706,2025,RE,2024-06-16,2024-06-20,AED,4500091888
1000,1900000707,2024,RE,2024-03-03,2024-03-05,EUR,4500090943
2000,1900000708,2025,RE,2025-12-11,2025-12-15,USD,4500090182
3000,1900000709,2025,RE,2024-07-06,2024-07-09,AED,4500090598
2000,1900000710,2025,RE,2024-04-17,2024-04-18,EUR,4500091589
2000,1900000711,2024,RE,2024-01-21,2024-01-22,EUR,4500091669
1000,1900000712,2024,RE,2024-03-26,2024-03-31,AED,4500090736
1000,1900000713,2024,RE,2025-10-02,2025-10-07,AED,4500090544
1000,1900000714,2024,RE,2025-03-22,2025-03-27,AED,4500091541
1000,1900000715,2025,RE,2025-01-05,2025-01-06,AED,4500090450
3000,1900000716,2024,RE,2025-03-23,2025-03-24,EUR,4500091368
2000,1900000717,2025,RE,2024-06-30,2024-07-04,EUR,4500091593
3000,1900000718,2025,RE,2025-06-23,2025-06-27,USD,4500091112
2000,1900000719,2025,RE,2025-10-26,2025-10-29,USD,4500091644
3000,1900000720,2024,RE,2025-05-25,2025-05-27,USD,4500091360
1000,1900000721,2025,RE,2025-06-16,2025-06-17,AED,4500090931
2000,1900000722,2025,RE,2025-12-01,2025-12-01,AED,4500091127
1000,1900000723,2024,RE,2024-11-13,2024-11-15,USD,4500090983
1000,1900000724,2025,RE,2024-11-23,2024-11-27,EUR,4500090227
3000,1900000725,2025,RE,2025-03-06,2025-03-09,EUR,4500091822
3000,1900000726,2024,RE,2025-08-25,2025-08-26,EUR,4500091023
1000,1900000727,2025,RE,2025-10-11,2025-10-13,USD,4500090397
2000,1900000728,2024,RE,2025-03-30,2025-04-02,EUR,4500090479
1000,1900000729,2024,RE,2024-05-31,2024-06-01,EUR,4500091951
3000,1900000730,2024,RE,2024-03-17,2024-03-19,EUR,4500091028
3000,1900000731,2025,RE,2025-10-16,2025-10-19,EUR,4500090423
1000,1900000732,2024,RE,2025-09-06,2025-09-08,USD,4500091973
1000,1900000733,2024,RE,2025-03-02,2025-03-02,EUR,4500090969
1000,1900000734,2024,RE,2024-12-29,2025-01-02,EUR,4500091218
1000,1900000735,2024,RE,2025-06-29,2025-07-04,EUR,4500090773
2000,1900000736,2024,RE,2024-08-25,2024-08-28,AED,4500091538
2000,1900000737,2025,RE,2024-12-24,2024-12-28,EUR,4500091322
2000,1900000738,2025,RE,2025-01-05,2025-01-08,USD,4500091849
1000,1900000739,2025,RE,2024-09-27,2024-10-02,AED,4500090518
2000,1900000740,2025,RE,2024-07-04,2024-07-06,AED,4500091729
2000,1900000741,2024,RE,2024-06-10,2024-06-10,USD,4500090485
3000,1900000742,2024,RE,2024-03-15,2024-03-19,AED,4500090910
2000,1900000743,2024,RE,2025-11-15,2025-11-19,AED,4500090764
1000,1900000744,2025,RE,2025-10-16,2025-10-16,EUR,4500091667
2000,1900000745,2024,RE,2024-04-26,2024-04-29,AED,4500090654
3000,1900000746,2024,RE,2025-08-03,2025-08-03,USD,4500090582
2000,1900000747,2024,RE,2025-11-04,2025-11-09,EUR,4500090594
3000,1900000748,2025,RE,2024-09-09,2024-09-09,AED,4500090385
2000,1900000749,2024,RE,2024-07-18,2024-07-23,USD,4500090414
3000,1900000750,2025,RE,2024-06-09,2024-06-13,USD,4500090041
2000,1900000751,2024,RE,2025-05-15,2025-05-20,EUR,4500091075
1000,1900000752,2024,RE,2025-03-11,2025-03-12,EUR,4500090389
3000,1900000753,2025,RE,2025-06-11,2025-06-16,AED,4500091189
3000,1900000754,2025,RE,2025-11-04,2025-11-08,USD,4500090055
1000,1900000755,2024,RE,2024-02-26,2024-03-02,USD,4500091999
2000,1900000756,2024,RE,2025-12-22,2025-12-23,EUR,4500091355
1000,1900000757,2024,RE,2025-03-28,2025-04-01,USD,4500091405
3000,1900000758,2024,RE,2025-04-04,2025-04-08,EUR,4500090828
2000,1900000759,2024,RE,2024-11-07,2024-11-12,AED,4500090032
3000,1900000760,2024,RE,2024-11-23,2024-11-24,EUR,4500090138
2000,1900000761,2025,RE,2024-11-19,2024-11-23,AED,4500090569
1000,1900000762,2025,RE,2024-11-07,2024-11-07,USD,4500091036
3000,1900000763,2024,RE,2024-07-19,2024-07-24,AED,4500091651
1000,1900000764,2025,RE,2025-09-26,2025-09-28,AED,4500090895
3000,1900000765,2025,RE,2024-02-16,2024-02-19,USD,4500090168
1000,1900000766,2024,RE,2025-02-01,2025-02-05,AED,4500091095
