MBLNR,MJAHR,BLDAT,BUDAT
5000000634,2024,2024-12-20,2024-12-22
5000000635,2025,2025-09-12,2025-09-13
5000000636,2025,2025-06-12,2025-06-12
5000000637,2025,2025-05-20,2025-05-20
5000000638,2025,2025-02-18,2025-02-20
5000000639,2024,2024-05-26,2024-05-27
5000000640,2025,2024-02-11,2024-02-12
5000000641,2024,2024-06-19,2024-06-19
5000000642,2024,2024-03-13,2024-03-16
5000000643,2025,2024-07-04,2024-07-06
5000000644,2024,2024-02-15,2024-02-18
5000000645,2024,2025-03-15,2025-03-15
5000000646,2024,2024-09-01,2024-09-03
5000000647,2024,2024-07-23,2024-07-24
5000000648,2025,2025-03-13,2025-03-15
5000000649,2024,2024-05-02,2024-05-04
5000000650,2024,2024-01-14,2024-01-14
5000000651,2024,2024-04-09,2024-04-09
5000000652,2025,2025-11-09,2025-11-10
5000000653,2025,2024-08-02,2024-08-03
5000000654,2024,2025-07-05,2025-07-08
5000000655,2024,2024-05-05,2024-05-08
5000000656,2025,2025-09-30,2025-10-01
5000000657,2025,2024-08-18,2024-08-18
5000000658,2025,2025-01-14,2025-01-17
5000000659,2024,2024-07-16,2024-07-19
5000000660,2024,2025-07-02,2025-07-04
5000000661,2024,2025-06-02,2025-06-04
5000000662,2025,2025-04-09,2025-04-09
5000000663,2024,2025-05-13,2025-05-13
5000000664,2024,2024-10-28,2024-10-31
5000000665,2025,2025-06-30,2025-07-01
5000000666,2025,2025-09-20,2025-09-20
5000000667,2025,2025-01-03,2025-01-06
5000000668,2025,2025-12-24,2025-12-24
5000000669,2025,2024-11-25,2024-11-26
5000000670,2025,2024-05-17,2024-05-20
5000000671,2024,2024-11-20,2024-11-22
5000000672,2025,2024-12-12,2024-12-14
5000000673,2024,2024-09-08,2024-09-10
5000000674,2024,2024-03-28,2024-03-29
5000000675,2024,2025-08-19,2025-08-20
5000000676,2024,2025-04-30,2025-04-30
5000000677,2024,2025-05-18,2025-05-19
5000000678,2024,2025-09-20,2025-09-20
5000000679,2024,2025-12-04,2025-12-05
5000000680,2024,2024-12-29,2024-12-29
5000000681,2024,2024-03-18,2024-03-20
5000000682,2025,2024-07-19,2024-07-20
5000000683,2024,2025-06-11,2025-06-14
5000000684,2025,2025-01-19,2025-01-21
5000000685,2025,2024-03-13,2024-03-14
5000000686,2025,2024-06-10,2024-06-13
5000000687,2024,2024-10-30,2024-11-02
5000000688,2024,2024-08-07,2024-08-07
5000000689,2025,2024-07-15,2024-07-16
5000000690,2025,2025-11-11,2025-11-12
5000000691,2025,2025-07-11,2025-07-13
5000000692,2024,2024-09-11,2024-09-12
5000000693,2025,2025-10-05,2025-10-05
5000000694,2025,2024-12-20,2024-12-22
5000000695,2024,2025-12-01,2025-12-01
5000000696,2025,2024-01-11,2024-01-14
5000000697,2024,2024-10-15,2024-10-16
5000000698,2025,2024-10-19,2024-10-22
5000000699,2025,2025-01-21,2025-01-22
5000000700,2024,2024-05-24,2024-05-27
5000000701,2024,2025-12-31,2026-01-01
5000000702,2024,2024-03-05,2024-03-05
5000000703,2025,2024-02-16,2024-02-19
5000000704,2024,2024-03-21,2024-03-22
5000000705,2024,2024-07-14,2024-07-16
5000000706,2025,2025-05-09,2025-05-11
5000000707,2024,2024-03-28,2024-03-29
5000000708,2025,2025-02-28,2025-03-02
5000000709,2025,2024-11-11,2024-11-14
5000000710,2025,2024-01-02,2024-01-02
5000000711,2025,2025-10-02,2025-10-05
5000000712,2024,2024-10-09,2024-10-12
5000000713,2024,2024-09-28,2024-09-29
5000000714,2025,2025-09-07,2025-09-09
5000000715,2024,2024-06-26,2024-06-29
5000000716,2025,2025-08-12,2025-08-13
5000000717,2025,2025-02-04,2025-02-05
5000000718,2024,2025-12-12,2025-12-13
5000000719,2024,2024-09-01,2024-09-01
5000000720,2024,2025-02-13,2025-02-13
5000000721,2024,2025-12-21,2025-12-23
5000000722,2025,2024-05-20,2024-05-22
5000000723,2025,2024-04-16,2024-04-18
5000000724,2025,2024-03-20,2024-03-21
5000000725,2025,2024-01-05,2024-01-06
5000000726,2025,2024-06-15,2024-06-16
5000000727,2024,2025-07-23,2025-07-24
5000000728,2025,2025-06-17,2025-06-20
5000000729,2024,2024-10-06,2024-10-08
5000000730,2025,2024-02-04,2024-02-07
5000000731,2025,2024-08-25,2024-08-27
5000000732,2024,2024-09-27,2024-09-30
5000000733,2025,2024-01-29,2024-02-01
5000000734,2024,2024-11-03,2024-11-04
5000000735,2025,2025-08-21,2025-08-22
5000000736,2024,2025-03-11,2025-03-12
5000000737,2025,2025-06-10,2025-06-11
5000000738,2024,2024-04-27,2024-04-27
5000000739,2024,2024-06-09,2024-06-12
5000000740,2024,2025-09-04,2025-09-05
5000000741,2025,2025-12-08,2025-12-10
5000000742,2024,2024-06-23,2024-06-25
5000000743,2024,2024-02-02,2024-02-02
5000000744,2024,2024-12-21,2024-12-21
5000000745,2025,2025-01-13,2025-01-14
5000000746,2025,2024-02-16,2024-02-16
5000000747,2024,2025-08-19,2025-08-19
5000000748,2024,2024-05-08,2024-05-10
5000000749,2025,2024-10-02,2024-10-03
5000000750,2024,2025-11-03,2025-11-04
5000000751,2024,2025-11-18,2025-11-21
5000000752,2025,2025-10-21,2025-10-21
5000000753,2025,2025-10-01,2025-10-02
5000000754,2024,2024-12-12,2024-12-12
5000000755,2024,2024-04-22,2024-04-24
5000000756,2025,2025-12-14,2025-12-16
5000000757,2024,2024-07-29,2024-07-30
5000000758,2024,2025-04-06,2025-04-08
5000000759,2025,2024-04-29,2024-04-29
5000000760,2024,2024-10-04,2024-10-05
5000000761,2025,2024-11-17,2024-11-17
5000000762,2025,2024-03-07,2024-03-10
5000000763,2025,2024-09-19,2024-09-20
5000000764,2024,2024-03-12,2024-03-12
5000000765,2024,2025-07-02,2025-07-03
5000000766,2025,2024-06-21,2024-06-24
5000000767,2024,2025-07-31,2025-07-31
5000000768,2025,2025-01-13,2025-01-13
5000000769,2024,2024-08-08,2024-08-11
5000000770,2024,2025-06-21,2025-06-23
5000000771,2024,2024-05-31,2024-06-03
5000000772,2024,2024-03-23,2024-03-26
5000000773,2025,2025-06-21,2025-06-21
5000000774,2025,2024-03-27,2024-03-27
5000000775,2025,2024-04-07,2024-04-07
5000000776,2025,2024-01-20,2024-01-20
5000000777,2024,2024-07-07,2024-07-09
5000000778,2025,2024-12-27,2024-12-27
5000000779,2025,2024-12-08,2024-12-10
5000000780,2024,2025-07-18,2025-07-21
5000000781,2025,2024-09-19,2024-09-21
5000000782,2025,2024-11-24,2024-11-27
5000000783,2025,2025-04-29,2025-05-02
5000000784,2025,2024-05-29,2024-06-01
5000000785,2025,2025-01-01,2025-01-02
5000000786,2024,2024-03-09,2024-03-10
5000000787,2025,2025-04-08,2025-04-08
5000000788,2024,2025-10-23,2025-10-24
5000000789,2024,2024-11-12,2024-11-12
5000000790,2024,2024-10-29,2024-10-30
5000000791,2025,2025-06-05,2025-06-07
5000000792,2024,2025-06-17,2025-06-20
5000000793,2024,2024-02-18,2024-02-19
5000000794,2024,2024-01-04,2024-01-04
5000000795,2025,2025-01-11,2025-01-11
5000000796,2024,2025-10-29,2025-10-29
5000000797,2025,2025-04-29,2025-05-02
5000000798,2024,2024-05-19,2024-05-19
5000000799,2025,2024-05-05,2024-05-08
5000000800,2024,2024-05-13,2024-05-14
5000000801,2024,2024-08-10,2024-08-11
5000000802,2024,2024-05-16,2024-05-17
5000000803,2024,2025-04-27,2025-04-30
5000000804,2024,2024-03-20,2024-03-20
5000000805,2025,2025-01-31,2025-02-03
5000000806,2024,2025-12-23,2025-12-24
5000000807,2025,2024-01-23,2024-01-26
5000000808,2024,2024-08-06,2024-08-08
5000000809,2025,2024-09-22,2024-09-25
5000000810,2024,2025-04-21,2025-04-21
5000000811,2024,2025-11-14,2025-11-16
5000000812,2025,2024-06-30,2024-06-30
5000000813,2024,2024-07-26,2024-07-26
5000000814,2024,2024-05-15,2024-05-16
5000000815,2025,2024-07-31,2024-08-03
5000000816,2025,2025-11-14,2025-11-15
5000000817,2024,2025-09-18,2025-09-19
5000000818,2025,2025-09-05,2025-09-05
5000000819,2025,2024-08-03,2024-08-05
5000000820,2025,2024-11-25,2024-11-27
5000000821,2024,2025-12-02,2025-12-02
5000000822,2024,2025-04-25,2025-04-28
5000000823,2024,2025-06-01,2025-06-01
5000000824,2025,2024-12-17,2024-12-18
5000000825,2024,2024-01-04,2024-01-04
5000000826,2025,2025-05-29,2025-05-31
5000000827,2025,2024-08-27,2024-08-27
5000000828,2025,2025-03-12,2025-03-15
5000000829,2024,2025-02-22,2025-02-25
5000000830,2024,2024-12-01,2024-12-03
5000000831,2024,2025-01-07,2025-01-09
5000000832,2024,2024-07-22,2024-07-25
5000000833,2024,2024-08-03,2024-08-03
5000000834,2025,2025-12-15,2025-12-18
5000000835,2024,2024-08-20,2024-08-21
5000000836,2025,2024-12-26,2024-12-28
5000000837,2025,2024-01-15,2024-01-17
5000000838,2024,2025-08-16,2025-08-17
5000000839,2024,2025-02-13,2025-02-15
5000000840,2024,2024-09-17,2024-09-17
5000000841,2025,2024-01-30,2024-01-30
5000000842,2025,2024-08-20,2024-08-23
5000000843,2025,2024-12-22,2024-12-22
5000000844,2024,2024-11-10,2024-11-13
5000000845,2024,2025-08-13,2025-08-15
5000000846,2025,2024-06-13,2024-06-14
5000000847,2025,2025-11-21,2025-11-21
5000000848,2024,2025-10-18,2025-10-18
5000000849,2024,2025-01-24,2025-01-27
5000000850,2025,2025-03-27,2025-03-29
5000000851,2025,2025-12-23,2025-12-23
5000000852,2025,2024-05-21,2024-05-23
5000000853,2024,2025-07-14,2025-07-15
5000000854,2024,2024-05-05,2024-05-05
5000000855,2024,2024-04-30,2024-05-02
5000000856,2025,2025-04-23,2025-04-25
5000000857,2024,2025-05-27,2025-05-27
5000000858,2025,2025-07-05,2025-07-06
5000000859,2024,2025-06-13,2025-06-15
5000000860,2024,2024-11-13,2024-11-16
5000000861,2025,2025-11-08,2025-11-10
5000000862,2025,2024-06-27,2024-06-30
5000000863,2025,2025-06-19,2025-06-22
5000000864,2024,2024-11-05,2024-11-07
5000000865,2025,2025-06-09,2025-06-11
5000000866,2024,2024-06-06,2024-06-09
5000000867,2025,2025-11-25,2025-11-27
5000000868,2025,2025-10-10,2025-10-11
5000000869,2025,2024-05-30,2024-05-30
5000000870,2024,2024-10-01,2024-10-04
5000000871,2024,2025-06-10,2025-06-10
5000000872,2024,2025-05-21,2025-05-22
5000000873,2025,2025-02-05,2025-02-05
5000000874,2025,2024-06-19,2024-06-20
5000000875,2025,2024-11-04,2024-11-07
5000000876,2025,2025-02-13,2025-02-14
5000000877,2025,2025-12-10,2025-12-12
5000000878,2024,2024-02-22,2024-02-24
5000000879,2025,2025-04-08,2025-04-09
5000000880,2025,2025-06-21,2025-06-22
5000000881,2025,2025-10-25,2025-10-26
5000000882,2025,2025-11-11,2025-11-14
5000000883,2025,2024-11-20,2024-11-23
5000000884,2024,2025-08-26,2025-08-26
5000000885,2025,2024-10-25,2024-10-25
5000000886,2025,2024-06-21,2024-06-24
5000000887,2025,2025-08-11,2025-08-13
5000000888,2024,2024-04-28,2024-05-01
5000000889,2024,2024-11-24,2024-11-26
5000000890,2024,2025-03-04,2025-03-07
5000000891,2025,2025-12-18,2025-12-21
5000000892,2025,2024-10-20,2024-10-21
5000000893,2025,2024-08-17,2024-08-19
5000000894,2025,2025-12-02,2025-12-02
5000000895,2025,2024-01-11,2024-01-12
5000000896,2025,2025-08-07,2025-08-09
5000000897,2024,2025-01-08,2025-01-11
5000000898,2024,2025-05-07,2025-05-07
5000000899,2024,2025-08-14,2025-08-14
5000000900,2025,2025-07-09,2025-07-09
5000000901,2024,2025-01-23,2025-01-26
5000000902,2024,2024-12-17,2024-12-19
5000000903,2025,2025-06-22,2025-06-25
5000000904,2024,2024-06-14,2024-06-17
5000000905,2024,2024-12-18,2024-12-19
5000000906,2024,2024-03-10,2024-03-13
5000000907,2024,2025-04-21,2025-04-24
5000000908,2024,2024-11-04,2024-11-07
5000000909,2024,2025-10-24,2025-10-27
5000000910,2025,2025-05-06,2025-05-07
5000000911,2024,2024-01-14,2024-01-14
5000000912,2024,2024-04-29,2024-04-30
5000000913,2025,2024-07-09,2024-07-11
5000000914,2024,2025-11-21,2025-11-22
5000000915,2025,2024-09-28,2024-09-30
5000000916,2024,2025-03-24,2025-03-27
5000000917,2025,2025-04-05,2025-04-07
5000000918,2024,2025-03-15,2025-03-16
5000000919,2024,2025-09-11,2025-09-12
5000000920,2024,2024-03-12,2024-03-13
5000000921,2024,2025-03-20,2025-03-23
5000000922,2024,2024-11-28,2024-11-28
5000000923,2025,2024-07-07,2024-07-09
5000000924,2025,2024-05-15,2024-05-15
5000000925,2025,2025-07-07,2025-07-08
5000000926,2025,2024-01-27,2024-01-28
5000000927,2024,2025-09-16,2025-09-17
5000000928,2025,2024-09-21,2024-09-21
5000000929,2025,2024-04-12,2024-04-14
5000000930,2024,2025-06-09,2025-06-11
5000000931,2025,2025-11-30,2025-12-02
5000000932,2025,2025-12-25,2025-12-28
5000000933,2025,2025-11-05,2025-11-07
5000000934,2025,2024-04-30,2024-05-01
5000000935,2025,2025-08-06,2025-08-08
5000000936,2024,2024-09-14,2024-09-17
5000000937,2024,2024-01-12,2024-01-15
5000000938,2025,2025-09-28,2025-09-30
5000000939,2024,2024-05-19,2024-05-20
5000000940,2024,2024-01-26,2024-01-27
5000000941,2024,2024-11-03,2024-11-03
5000000942,2024,2025-08-30,2025-08-31
5000000943,2024,2025-09-28,2025-09-29
5000000944,2024,2025-12-15,2025-12-15
5000000945,2025,2024-09-26,2024-09-28
5000000946,2024,2024-07-02,2024-07-05
5000000947,2025,2024-11-23,2024-11-24
5000000948,2025,2025-06-11,2025-06-11
5000000949,2025,2024-07-17,2024-07-18
5000000950,2024,2025-04-17,2025-04-19
5000000951,2025,2025-07-19,2025-07-20
5000000952,2025,2025-04-22,2025-04-24
5000000953,2024,2025-04-09,2025-04-09
5000000954,2024,2025-09-30,2025-09-30
5000000955,2024,2024-08-31,2024-08-31
5000000956,2025,2025-02-15,2025-02-17
5000000957,2025,2024-08-18,2024-08-19
5000000958,2025,2025-10-07,2025-10-08
5000000959,2024,2024-01-22,2024-01-22
5000000960,2024,2024-06-20,2024-06-23
5000000961,2025,2024-09-19,2024-09-21
5000000962,2024,2025-09-15,2025-09-17
5000000963,2024,2025-08-10,2025-08-10
5000000964,2024,2025-08-29,2025-09-01
5000000965,2025,2024-07-13,2024-07-14
5000000966,2025,2024-10-27,2024-10-29
5000000967,2024,2024-11-27,2024-11-27
5000000968,2024,2024-11-22,2024-11-23
5000000969,2025,2025-10-14,2025-10-15
5000000970,2025,2025-06-24,2025-06-25
5000000971,2025,2024-05-13,2024-05-16
5000000972,2025,2024-01-18,2024-01-18
5000000973,2025,2024-09-25,2024-09-27
5000000974,2024,2024-01-08,2024-01-08
5000000975,2025,2025-08-24,2025-08-24
5000000976,2025,2025-11-13,2025-11-16
5000000977,2024,2024-10-21,2024-10-22
5000000978,2024,2025-02-21,2025-02-24
5000000979,2024,2025-11-24,2025-11-26
5000000980,2025,2024-10-17,2024-10-17
5000000981,2025,2025-12-15,2025-12-18
5000000982,2024,2025-06-21,2025-06-22
5000000983,2024,2025-04-20,2025-04-23
5000000984,2025,2025-04-02,2025-04-05
5000000985,2024,2025-07-13,2025-07-14
5000000986,2025,2024-12-11,2024-12-11
5000000987,2025,2024-08-25,2024-08-25
5000000988,2024,2025-01-07,2025-01-07
5000000989,2025,2024-03-28,2024-03-30
5000000990,2025,2024-08-09,2024-08-10
5000000991,2024,2025-08-17,2025-08-18
5000000992,2025,2025-02-17,2025-02-19
5000000993,2024,2024-12-26,2024-12-29
5000000994,2024,2024-12-15,2024-12-15
5000000995,2025,2025-03-27,2025-03-29
5000000996,2024,2024-04-14,2024-04-16
5000000997,2024,2025-05-25,2025-05-28
5000000998,2024,2024-08-22,2024-08-22
5000000999,2025,2025-04-24,2025-04-27
5000001000,2024,2025-07-03,2025-07-05
5000001001,2025,2024-12-19,2024-12-22
5000001002,2025,2024-11-24,2024-11-24
5000001003,2025,2025-12-28,2025-12-29
5000001004,2024,2024-03-21,2024-03-21
5000001005,2024,2025-06-17,2025-06-20
5000001006,2024,2024-05-09,2024-05-12
5000001007,2024,2024-04-29,2024-05-01
5000001008,2025,2024-03-11,2024-03-11
5000001009,2024,2024-06-04,2024-06-07
5000001010,2025,2025-11-13,2025-11-14
5000001011,2025,2024-05-09,2024-05-11
5000001012,2025,2024-07-26,2024-07-28
5000001013,2024,2024-03-21,2024-03-21
5000001014,2025,2025-10-29,2025-10-29
5000001015,2024,2024-04-19,2024-04-20
5000001016,2025,2025-08-14,2025-08-17
5000001017,2025,2024-01-22,2024-01-24
5000001018,2025,2025-11-29,2025-12-02
5000001019,2025,2024-08-27,2024-08-29
5000001020,2025,2025-06-14,2025-06-16
5000001021,2025,2025-12-03,2025-12-03
5000001022,2025,2025-05-11,2025-05-12
5000001023,2025,2024-12-25,2024-12-25
5000001024,2024,2025-03-01,2025-03-02
5000001025,2024,2024-12-20,2024-12-22
5000001026,2024,2024-09-21,2024-09-24
5000001027,2025,2025-06-05,2025-06-06
5000001028,2024,2024-07-05,2024-07-08
5000001029,2024,2024-04-23,2024-04-24
5000001030,2024,2024-07-05,2024-07-05
5000001031,2024,2024-02-18,2024-02-19
5000001032,2025,2025-01-16,2025-01-17
5000001033,2024,2024-07-22,2024-07-25
5000001034,2024,2025-09-29,2025-10-01
5000001035,2024,2024-11-18,2024-11-20
5000001036,2024,2025-05-18,2025-05-20
5000001037,2024,2025-03-04,2025-03-07
5000001038,2025,2025-09-09,2025-09-09
5000001039,2025,2024-10-29,2024-11-01
5000001040,2025,2025-11-22,2025-11-24
5000001041,2024,2024-04-07,2024-04-08
5000001042,2024,2024-08-19,2024-08-21
5000001043,2024,2025-08-01,2025-08-02
5000001044,2025,2024-04-21,2024-04-23
5000001045,2025,2025-04-03,2025-04-06
5000001046,2024,2024-11-15,2024-11-18
5000001047,2025,2025-01-15,2025-01-16
5000001048,2025,2025-06-15,2025-06-16
5000001049,2024,2025-12-07,2025-12-09
5000001050,2024,2024-03-05,2024-03-05
5000001051,2025,2024-05-26,2024-05-29
5000001052,2024,2025-08-08,2025-08-11
5000001053,2025,2025-12-16,2025-12-18
5000001054,2024,2025-01-01,2025-01-01
5000001055,2025,2024-08-11,2024-08-14
5000001056,2024,2025-11-30,2025-12-02
5000001057,2024,2025-10-23,2025-10-24
5000001058,2025,2025-08-06,2025-08-09
5000001059,2025,2024-02-23,2024-02-23
5000001060,2024,2025-11-23,2025-11-24
5000001061,2024,2025-10-30,2025-10-31
5000001062,2025,2025-05-29,2025-06-01
5000001063,2025,2024-10-16,2024-10-16
5000001064,2024,2024-12-24,2024-12-25
5000001065,2024,2025-12-30,2025-12-31
5000001066,2024,2025-03-18,2025-03-19
5000001067,2025,2024-09-18,2024-09-21
5000001068,2025,2025-06-08,2025-06-10
5000001069,2024,2025-03-26,2025-03-28
5000001070,2025,2024-08-08,2024-08-09
5000001071,2025,2024-08-01,2024-08-02
5000001072,2025,2025-10-19,2025-10-21
5000001073,2024,2025-06-21,2025-06-21
5000001074,2024,2025-02-16,2025-02-16
5000001075,2025,2024-08-02,2024-08-05
5000001076,2025,2024-05-26,2024-05-27
5000001077,2024,2024-08-24,2024-08-27
5000001078,2025,2024-08-08,2024-08-11
5000001079,2025,2025-10-06,2025-10-09
5000001080,2025,2024-01-25,2024-01-25
5000001081,2024,2025-04-30,2025-05-02
5000001082,2025,2024-03-23,2024-03-24
5000001083,2025,2025-07-28,2025-07-29
5000001084,2025,2024-08-11,2024-08-12
5000001085,2024,2025-11-20,2025-11-23
5000001086,2024,2025-11-16,2025-11-18
5000001087,2025,2025-08-15,2025-08-16
5000001088,2025,2025-08-16,2025-08-18
5000001089,2025,2025-06-14,2025-06-14
5000001090,2025,2025-11-19,2025-11-22
5000001091,2024,2025-06-05,2025-06-06
5000001092,2025,2024-11-03,2024-11-03
5000001093,2024,2024-05-13,2024-05-14
5000001094,2025,2025-09-03,2025-09-03
5000001095,2024,2025-08-14,2025-08-15
5000001096,2025,2024-11-04,2024-11-05
5000001097,2025,2025-03-09,2025-03-11
5000001098,2025,2024-03-30,2024-04-02
5000001099,2025,2024-01-21,2024-01-23
5000001100,2025,2024-02-29,2024-02-29
5000001101,2024,2025-01-31,2025-02-02
5000001102,2025,2024-11-28,2024-11-28
5000001103,2025,2025-03-02,2025-03-02
5000001104,2025,2025-08-23,2025-08-25
5000001105,2025,2025-07-26,2025-07-29
5000001106,2024,2024-08-26,2024-08-27
5000001107,2024,2024-05-25,2024-05-26
5000001108,2025,2024-01-25,2024-01-28
5000001109,2024,2024-02-24,2024-02-25
5000001110,2024,2024-04-12,2024-04-14
5000001111,2025,2024-04-24,2024-04-25
5000001112,2025,2024-07-19,2024-07-20
5000001113,2025,2025-12-19,2025-12-21
5000001114,2025,2025-01-04,2025-01-04
5000001115,2024,2024-07-19,2024-07-20
5000001116,2025,2025-01-25,2025-01-27
5000001117,2024,2025-06-28,2025-06-28
5000001118,2025,2024-06-05,2024-06-08
5000001119,2025,2025-08-31,2025-08-31
5000001120,2025,2025-08-26,2025-08-27
5000001121,2025,2024-04-12,2024-04-12
5000001122,2024,2024-06-28,2024-06-28
5000001123,2024,2024-12-01,2024-12-02
5000001124,2024,2024-07-21,2024-07-24
5000001125,2024,2024-09-30,2024-09-30
5000001126,2024,2025-10-05,2025-10-05
5000001127,2024,2025-01-31,2025-02-01
5000001128,2025,2024-07-22,2024-07-23
5000001129,2025,2025-04-21,2025-04-21
5000001130,2024,2025-09-30,2025-10-02
5000001131,2024,2024-09-01,2024-09-04
5000001132,2024,2024-01-22,2024-01-23
5000001133,2024,2024-04-02,2024-04-02
5000001134,2024,2025-08-07,2025-08-10
5000001135,2025,2024-12-07,2024-12-08
5000001136,2025,2024-05-31,2024-06-01
5000001137,2025,2024-11-30,2024-11-30
5000001138,2024,2024-10-28,2024-10-29
5000001139,2024,2024-08-02,2024-08-03
5000001140,2024,2024-11-15,2024-11-17
5000001141,2024,2025-01-23,2025-01-25
5000001142,2024,2024-09-10,2024-09-10
5000001143,2025,2024-01-25,2024-01-27
5000001144,2025,2024-09-29,2024-09-29
5000001145,2025,2024-05-27,2024-05-29
5000001146,2025,2024-04-07,2024-04-08
5000001147,2024,2024-06-21,2024-06-23
5000001148,2024,2024-09-28,2024-09-28
5000001149,2024,2025-11-08,2025-11-09
5000001150,2024,2024-07-03,2024-07-06
5000001151,2024,2025-01-15,2025-01-15
5000001152,2024,2024-07-25,2024-07-27
5000001153,2024,2024-02-24,2024-02-27
5000001154,2025,2024-01-22,2024-01-24
5000001155,2024,2024-03-08,2024-03-08
5000001156,2024,2024-09-27,2024-09-29
5000001157,2024,2024-06-19,2024-06-22
5000001158,2024,2025-09-05,2025-09-06
5000001159,2024,2025-12-22,2025-12-25
5000001160,2025,2025-10-20,2025-10-21
5000001161,2024,2025-03-25,2025-03-26
5000001162,2025,2025-04-03,2025-04-05
5000001163,2024,2024-08-17,2024-08-20
5000001164,2024,2025-02-23,2025-02-23
5000001165,2025,2025-10-16,2025-10-16
5000001166,2025,2024-03-17,2024-03-17
5000001167,2024,2024-08-13,2024-08-15
5000001168,2025,2025-02-25,2025-02-27
5000001169,2024,2025-11-12,2025-11-13
5000001170,2025,2025-07-11,2025-07-14
5000001171,2024,2025-01-19,2025-01-22
5000001172,2024,2025-04-08,2025-04-10
5000001173,2025,2024-08-24,2024-08-24
5000001174,2025,2024-01-05,2024-01-08
5000001175,2024,2025-06-12,2025-06-13
5000001176,2025,2024-05-14,2024-05-14
5000001177,2024,2025-02-01,2025-02-04
5000001178,2025,2025-01-03,2025-01-06
5000001179,2025,2025-07-11,2025-07-12
5000001180,2024,2025-09-29,2025-09-29
5000001181,2024,2024-09-17,2024-09-19
5000001182,2025,2024-09-25,2024-09-25
5000001183,2024,2025-02-01,2025-02-03
5000001184,2025,2025-04-27,2025-04-27
5000001185,2025,2024-02-17,2024-02-17
5000001186,2024,2025-11-15,2025-11-15
5000001187,2025,2025-03-16,2025-03-18
5000001188,2024,2024-07-04,2024-07-05
5000001189,2025,2025-11-01,2025-11-04
5000001190,2024,2024-09-21,2024-09-21
5000001191,2024,2025-02-02,2025-02-04
5000001192,2024,2025-09-05,2025-09-06
5000001193,2024,2025-11-10,2025-11-11
5000001194,2025,2025-06-25,2025-06-27
5000001195,2024,2025-08-02,2025-08-03
5000001196,2025,2025-05-21,2025-05-21
5000001197,2025,2025-04-23,2025-04-25
5000001198,2024,2025-11-18,2025-11-21
5000001199,2025,2024-09-14,2024-09-15
5000001200,2024,2025-06-10,2025-06-10
5000001201,2024,2025-12-11,2025-12-14
5000001202,2025,2024-01-15,2024-01-15
5000001203,2024,2025-05-12,2025-05-12
5000001204,2024,2025-05-13,2025-05-14
5000001205,2024,2025-03-05,2025-03-05
5000001206,2024,2024-06-06,2024-06-08
5000001207,2025,2024-07-28,2024-07-28
5000001208,2024,2025-04-04,2025-04-05
5000001209,2024,2024-08-20,2024-08-21
5000001210,2025,2025-07-18,2025-07-19
5000001211,2024,2024-03-18,2024-03-19
5000001212,2025,2024-02-12,2024-02-13
5000001213,2024,2024-10-07,2024-10-09
5000001214,2025,2024-05-29,2024-05-31
5000001215,2025,2024-06-07,2024-06-10
5000001216,2025,2024-04-07,2024-04-08
5000001217,2024,2025-12-14,2025-12-16
5000001218,2024,2025-02-04,2025-02-07
5000001219,2024,2025-07-03,2025-07-03
5000001220,2025,2024-11-28,2024-11-29
5000001221,2024,2025-05-28,2025-05-30
5000001222,2024,2024-02-21,2024-02-23
5000001223,2025,2025-09-12,2025-09-14
5000001224,2025,2024-02-05,2024-02-07
5000001225,2025,2025-05-23,2025-05-26
5000001226,2025,2024-08-13,2024-08-14
5000001227,2024,2024-05-24,2024-05-27
5000001228,2025,2024-05-26,2024-05-28
5000001229,2025,2025-06-05,2025-06-07
5000001230,2024,2024-11-29,2024-12-01
5000001231,2024,2025-12-08,2025-12-08
5000001232,2025,2025-05-16,2025-05-17
5000001233,2025,2025-10-11,2025-10-14
5000001234,2024,2024-02-10,2024-02-11
5000001235,2024,2025-03-10,2025-03-11
5000001236,2024,2024-06-12,2024-06-15
5000001237,2024,2024-07-30,2024-07-31
5000001238,2024,2024-12-29,2024-12-30
5000001239,2024,2025-06-21,2025-06-24
5000001240,2025,2025-04-25,2025-04-25
5000001241,2025,2024-04-01,2024-04-03
5000001242,2025,2025-10-01,2025-10-04
5000001243,2025,2024-09-12,2024-09-15
5000001244,2025,2025-10-26,2025-10-26
5000001245,2024,2025-02-16,2025-02-18
5000001246,2024,2025-01-10,2025-01-13
5000001247,2025,2025-10-05,2025-10-05
5000001248,2024,2025-02-05,2025-02-06
5000001249,2024,2024-10-31,2024-10-31
5000001250,2024,2025-03-08,2025-03-08
5000001251,2024,2024-11-08,2024-11-11
5000001252,2025,2025-09-23,2025-09-26
5000001253,2025,2024-07-08,2024-07-10
5000001254,2025,2024-04-18,2024-04-19
5000001255,2024,2025-08-03,2025-08-05
5000001256,2024,2024-04-02,2024-04-02
5000001257,2025,2024-09-29,2024-09-29
5000001258,2024,2025-01-31,2025-02-02
5000001259,2025,2024-01-27,2024-01-29
5000001260,2024,2024-11-02,2024-11-05
5000001261,2025,2024-07-16,2024-07-19
5000001262,2025,2025-11-20,2025-11-20
5000001263,2025,2024-07-25,2024-07-27
5000001264,2024,2025-08-02,2025-08-05
5000001265,2024,2024-02-19,2024-02-21
5000001266,2025,2024-01-23,2024-01-26
5000001267,2024,2025-10-17,2025-10-17
5000001268,2024,2024-04-23,2024-04-23
