EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,BEDAT,WAERS,ZTERM
4500090412,2000,NB,100054,2000,004,2025-11-03,EUR,NT60
4500090413,2000,FO,100001,1000,002,2025-01-02,AED,NT30
4500090414,2000,FO,100035,2000,003,2024-08-17,USD,NT60
4500090415,3000,NB,100006,1000,001,2025-09-17,USD,NT30
4500090416,2000,NB,100041,1000,002,2025-01-07,EUR,0001
4500090417,1000,FO,100032,2000,004,2024-06-24,EUR,NT45
4500090418,2000,NB,100050,2000,002,2025-11-29,USD,NT30
4500090419,2000,NB,100027,1000,001,2024-03-03,AED,NT60
4500090420,3000,FO,100050,2000,004,2025-09-25,USD,NT60
4500090421,3000,ZSER,100047,2000,002,2024-05-09,USD,NT60
4500090422,2000,ZSER,100053,2000,001,2025-01-16,USD,NT30
4500090423,3000,FO,100043,1000,001,2024-05-23,EUR,NT45
4500090424,3000,ZSER,100033,2000,003,2025-02-16,AED,0001
4500090425,1000,ZSER,100029,1000,003,2025-04-29,USD,0001
4500090426,2000,FO,100009,2000,003,2024-04-30,EUR,0001
4500090427,2000,NB,100059,1000,004,2024-11-08,USD,NT30
4500090428,3000,ZSER,100048,2000,004,2024-05-21,AED,0001
4500090429,3000,FO,100034,2000,001,2024-02-16,USD,NT30
4500090430,1000,ZSER,100057,1000,001,2024-01-20,EUR,NT45
4500090431,1000,FO,100021,1000,003,2025-03-23,EUR,NT60
4500090432,2000,NB,100009,1000,003,2024-07-06,EUR,NT45
4500090433,2000,NB,100003,2000,002,2024-11-01,EUR,NT60
4500090434,2000,FO,100017,2000,001,2024-03-03,EUR,NT30
4500090435,1000,ZSER,100034,2000,004,2024-06-21,USD,NT30
4500090436,3000,NB,100010,2000,001,2025-06-30,EUR,NT30
4500090437,2000,ZSER,100021,2000,003,2025-10-12,USD,NT60
4500090438,3000,FO,100035,2000,001,2025-12-14,AED,NT30
4500090439,2000,FO,100052,1000,001,2025-09-07,USD,0001
4500090440,2000,FO,100014,1000,003,2024-08-27,EUR,NT45
4500090441,3000,ZSER,100055,2000,002,2024-10-11,AED,NT45
4500090442,1000,ZSER,100046,1000,003,2024-10-07,AED,0001
4500090443,2000,FO,100054,2000,001,2024-11-26,AED,0001
4500090444,2000,NB,100014,1000,002,2025-12-07,USD,NT60
4500090445,1000,FO,100015,1000,001,2024-12-14,AED,0001
4500090446,2000,FO,100058,1000,002,2024-02-04,USD,0001
4500090447,3000,NB,100043,2000,004,2024-02-27,EUR,NT30
4500090448,1000,ZSER,100006,1000,002,2024-04-15,AED,NT45
4500090449,2000,ZSER,100048,1000,002,2025-01-01,EUR,NT60
4500090450,1000,FO,100040,1000,004,2024-07-25,AED,0001
4500090451,2000,ZSER,100044,1000,002,2024-08-23,EUR,NT60
4500090452,2000,NB,100012,1000,003,2024-07-21,AED,NT45
4500090453,2000,FO,100021,1000,003,2024-08-03,EUR,NT45
4500090454,2000,NB,100018,1000,003,2024-06-01,USD,0001
4500090455,2000,FO,100048,2000,002,2025-06-05,EUR,NT60
4500090456,1000,NB,100016,1000,003,2025-07-17,EUR,NT60
4500090457,2000,FO,100051,2000,001,2025-05-24,USD,0001
4500090458,1000,NB,100005,1000,001,2024-10-10,EUR,NT30
4500090459,2000,NB,100054,2000,003,2025-07-10,EUR,0001
4500090460,2000,NB,100046,2000,002,2025-04-17,EUR,0001
4500090461,3000,FO,100000,2000,002,2025-05-26,EUR,0001
4500090462,3000,FO,100025,1000,004,2024-03-06,USD,NT60
4500090463,1000,FO,100004,1000,002,2025-04-10,EUR,0001
4500090464,3000,ZSER,100037,2000,003,2024-07-26,USD,NT30
4500090465,3000,NB,100029,1000,003,2025-04-18,AED,0001
4500090466,1000,FO,100044,1000,002,2025-08-05,USD,NT60
4500090467,1000,FO,100026,1000,001,2025-04-06,EUR,NT30
4500090468,1000,FO,100025,1000,002,2024-02-08,EUR,0001
4500090469,1000,ZSER,100004,2000,002,2025-11-18,EUR,NT60
4500090470,3000,ZSER,100051,1000,004,2025-06-19,AED,NT60
4500090471,3000,NB,100014,1000,001,2024-04-08,EUR,NT30
4500090472,2000,NB,100025,2000,002,2025-10-31,EUR,NT45
4500090473,2000,FO,100056,2000,001,2024-08-11,AED,NT45
4500090474,2000,NB,100020,2000,001,2025-11-13,AED,0001
4500090475,1000,FO,100018,1000,001,2024-07-25,USD,0001
4500090476,3000,NB,100015,1000,002,2024-07-29,AED,0001
4500090477,1000,ZSER,100053,1000,004,2024-07-28,AED,0001
4500090478,2000,NB,100023,2000,004,2025-02-11,EUR,0001
4500090479,2000,FO,100011,2000,004,2024-09-20,EUR,0001
4500090480,1000,NB,100004,2000,002,2025-02-22,USD,0001
4500090481,3000,NB,100040,1000,003,2025-12-24,AED,0001
4500090482,2000,ZSER,100045,1000,002,2025-01-28,EUR,NT45
4500090483,2000,NB,100025,1000,004,2025-12-16,USD,NT30
4500090484,1000,FO,100027,1000,002,2024-06-23,USD,0001
4500090485,2000,ZSER,100016,1000,002,2025-02-22,USD,NT60
4500090486,2000,FO,100037,1000,001,2024-08-28,USD,NT60
4500090487,2000,ZSER,100033,2000,004,2024-01-08,EUR,NT60
4500090488,1000,ZSER,100046,1000,003,2024-05-22,AED,NT45
4500090489,3000,FO,100051,1000,004,2024-11-29,EUR,NT30
4500090490,1000,FO,100032,1000,003,2024-02-02,AED,0001
4500090491,1000,FO,100044,1000,002,2024-04-01,EUR,0001
4500090492,3000,NB,100059,2000,004,2025-08-12,AED,0001
4500090493,1000,FO,100037,2000,003,2025-07-02,EUR,NT45
4500090494,2000,NB,100031,2000,002,2025-11-27,AED,NT30
4500090495,3000,NB,100009,1000,002,2024-08-03,EUR,0001
4500090496,3000,ZSER,100044,2000,001,2024-07-18,USD,NT60
4500090497,2000,FO,100028,1000,002,2025-12-13,USD,NT45
4500090498,2000,FO,100050,1000,001,2024-05-31,USD,NT60
4500090499,3000,ZSER,100041,1000,004,2025-01-19,AED,0001
4500090500,3000,ZSER,100030,1000,002,2024-10-07,EUR,0001
4500090501,1000,NB,100045,1000,002,2025-10-29,AED,NT45
4500090502,1000,ZSER,100008,1000,001,2025-08-11,AED,NT60
4500090503,2000,ZSER,100034,1000,002,2024-06-24,EUR,NT30
4500090504,1000,NB,100042,1000,002,2024-02-15,EUR,NT45
4500090505,2000,ZSER,100016,1000,004,2024-09-23,EUR,NT30
4500090506,3000,NB,100052,2000,002,2025-06-07,EUR,0001
4500090507,2000,NB,100000,2000,001,2024-04-10,USD,NT45
4500090508,1000,FO,100020,2000,004,2025-02-02,AED,NT45
4500090509,3000,ZSER,100045,2000,004,2024-09-12,USD,0001
4500090510,1000,ZSER,100026,1000,001,2024-11-16,AED,NT45
4500090511,1000,FO,100035,1000,004,2025-05-19,EUR,NT30
4500090512,1000,NB,100043,1000,003,2025-06-20,USD,NT60
4500090513,1000,ZSER,100021,1000,003,2025-11-26,EUR,0001
4500090514,2000,NB,100057,2000,001,2025-09-24,AED,0001
4500090515,2000,NB,100026,1000,003,2024-05-06,USD,0001
4500090516,2000,NB,100007,1000,004,2024-07-13,EUR,NT60
4500090517,2000,FO,100017,2000,002,2024-05-01,EUR,0001
4500090518,1000,FO,100018,1000,002,2025-05-12,AED,NT45
4500090519,3000,ZSER,100045,1000,002,2024-04-15,AED,NT45
4500090520,2000,FO,100055,2000,002,2024-02-22,USD,NT60
4500090521,2000,FO,100013,1000,004,2024-10-19,USD,NT60
4500090522,3000,FO,100017,1000,001,2024-08-03,USD,NT30
4500090523,2000,NB,100012,1000,003,2025-12-22,EUR,0001
4500090524,2000,ZSER,100022,1000,004,2025-01-09,USD,0001
4500090525,1000,NB,100034,2000,004,2025-06-09,AED,0001
4500090526,1000,NB,100035,1000,002,2024-05-01,EUR,NT30
4500090527,2000,ZSER,100000,2000,003,2025-10-26,USD,NT60
4500090528,1000,ZSER,100011,1000,004,2024-09-19,AED,NT60
4500090529,1000,FO,100027,1000,004,2025-01-12,USD,0001
4500090530,2000,ZSER,100056,1000,001,2024-06-30,USD,NT30
4500090531,1000,FO,100008,1000,001,2024-09-11,USD,NT30
4500090532,1000,NB,100040,1000,001,2025-07-10,AED,NT60
4500090533,1000,NB,100058,2000,004,2024-08-17,USD,NT60
4500090534,1000,FO,100039,1000,001,2024-12-07,AED,NT45
4500090535,2000,NB,100039,2000,004,2024-10-20,AED,NT60
4500090536,1000,NB,100046,2000,002,2024-10-12,USD,0001
4500090537,3000,ZSER,100034,1000,004,2025-05-19,USD,0001
4500090538,2000,NB,100003,2000,004,2024-12-23,USD,0001
4500090539,3000,FO,100046,2000,001,2024-01-27,AED,NT30
4500090540,1000,NB,100009,1000,001,2025-01-09,USD,0001
4500090541,3000,NB,100050,2000,001,2025-10-22,USD,NT30
4500090542,3000,FO,100025,2000,003,2025-03-09,AED,NT45
4500090543,3000,ZSER,100030,2000,004,2024-11-16,USD,NT30
4500090544,1000,FO,100013,1000,002,2025-09-03,AED,NT30
4500090545,2000,NB,100020,2000,003,2024-04-05,EUR,NT45
4500090546,2000,ZSER,100037,1000,003,2025-01-26,USD,NT45
4500090547,2000,NB,100059,2000,003,2024-12-15,EUR,0001
4500090548,3000,ZSER,100004,2000,001,2024-06-05,USD,NT45
4500090549,1000,ZSER,100005,2000,003,2024-03-13,EUR,NT60
4500090550,2000,ZSER,100005,2000,003,2025-11-29,AED,NT30
4500090551,2000,FO,100054,1000,004,2024-04-17,USD,NT45
4500090552,2000,NB,100021,2000,001,2025-09-10,EUR,0001
4500090553,3000,NB,100013,2000,001,2024-11-23,EUR,0001
4500090554,1000,NB,100057,1000,004,2024-09-22,EUR,NT60
4500090555,3000,ZSER,100027,2000,001,2024-12-29,AED,NT45
4500090556,1000,NB,100047,2000,002,2024-11-20,EUR,NT60
4500090557,3000,FO,100053,1000,001,2024-05-08,USD,NT45
4500090558,3000,FO,100044,2000,004,2025-05-26,EUR,NT60
4500090559,1000,ZSER,100005,1000,004,2024-04-16,USD,0001
4500090560,1000,NB,100018,2000,004,2025-03-06,USD,NT45
4500090561,3000,NB,100019,1000,004,2025-02-28,USD,NT30
4500090562,2000,FO,100052,1000,004,2025-09-06,USD,0001
4500090563,2000,ZSER,100011,1000,004,2025-02-16,USD,NT30
4500090564,1000,NB,100013,2000,001,2024-04-05,AED,NT45
4500090565,1000,ZSER,100036,1000,004,2025-01-26,AED,NT60
4500090566,3000,NB,100049,2000,001,2024-09-23,USD,NT30
4500090567,2000,NB,100009,1000,001,2024-10-16,EUR,NT60
4500090568,2000,FO,100043,2000,002,2025-03-05,USD,NT60
4500090569,2000,FO,100007,1000,002,2024-12-17,AED,NT60
4500090570,1000,FO,100032,1000,002,2024-06-05,USD,NT60
4500090571,3000,ZSER,100022,2000,004,2025-12-26,AED,0001
4500090572,2000,FO,100031,2000,003,2025-03-19,AED,NT30
4500090573,2000,NB,100051,2000,002,2024-11-26,USD,NT45
4500090574,2000,FO,100035,1000,002,2024-03-08,USD,NT60
4500090575,1000,NB,100020,1000,004,2024-11-23,EUR,NT30
4500090576,2000,NB,100000,2000,001,2025-04-17,AED,NT30
4500090577,2000,ZSER,100003,2000,004,2025-02-06,AED,NT30
4500090578,3000,NB,100057,1000,003,2025-01-12,USD,NT30
4500090579,2000,ZSER,100050,1000,002,2025-01-23,AED,0001
4500090580,3000,FO,100056,1000,002,2025-02-27,AED,0001
4500090581,1000,ZSER,100003,1000,004,2024-08-05,EUR,NT45
4500090582,3000,NB,100055,2000,002,2025-09-27,USD,NT60
4500090583,1000,ZSER,100022,1000,003,2024-09-28,EUR,NT45
4500090584,1000,FO,100024,1000,004,2025-03-08,USD,NT60
4500090585,2000,FO,100045,1000,002,2025-02-18,AED,NT60
4500090586,2000,ZSER,100015,1000,002,2024-06-23,USD,NT60
4500090587,2000,NB,100055,1000,001,2024-09-10,AED,NT60
4500090588,3000,FO,100031,2000,003,2024-12-25,EUR,0001
4500090589,3000,FO,100049,1000,003,2025-11-10,AED,NT30
4500090590,2000,NB,100044,1000,002,2025-03-17,EUR,NT30
4500090591,1000,ZSER,100019,2000,001,2024-07-14,EUR,0001
4500090592,2000,NB,100018,2000,001,2024-03-07,USD,NT60
4500090593,1000,FO,100042,1000,003,2024-01-01,EUR,NT45
4500090594,2000,NB,100037,1000,004,2024-03-23,EUR,NT45
4500090595,2000,ZSER,100019,2000,002,2024-03-28,EUR,0001
4500090596,3000,FO,100059,2000,003,2025-12-02,EUR,0001
4500090597,1000,FO,100048,1000,004,2025-02-06,AED,0001
4500090598,3000,NB,100006,2000,004,2024-12-07,AED,NT60
4500090599,3000,NB,100045,1000,004,2024-02-24,USD,NT45
4500090600,3000,NB,100000,1000,002,2024-06-05,USD,NT30
4500090601,1000,NB,100009,1000,002,2025-10-13,USD,NT45
4500090602,2000,NB,100000,2000,001,2025-08-17,EUR,NT45
4500090603,2000,ZSER,100029,2000,004,2024-05-23,USD,0001
4500090604,1000,NB,100054,1000,004,2024-06-11,AED,0001
4500090605,2000,NB,100003,1000,001,2025-09-18,EUR,NT60
4500090606,3000,ZSER,100008,1000,002,2025-10-14,EUR,0001
4500090607,3000,ZSER,100049,1000,003,2025-02-21,USD,0001
4500090608,2000,FO,100051,2000,001,2024-03-09,AED,NT30
4500090609,2000,FO,100052,2000,001,2024-10-23,USD,NT60
4500090610,2000,ZSER,100032,1000,001,2024-11-15,AED,0001
4500090611,1000,FO,100058,1000,001,2024-03-04,EUR,NT30
4500090612,1000,NB,100001,2000,001,2024-02-26,AED,0001
4500090613,3000,NB,100044,1000,004,2025-03-13,USD,NT60
4500090614,1000,NB,100055,1000,002,2024-09-12,EUR,NT45
4500090615,3000,ZSER,100013,2000,002,2025-05-21,EUR,NT60
4500090616,1000,NB,100031,1000,002,2024-10-13,EUR,NT45
4500090617,2000,ZSER,100015,2000,001,2025-12-16,USD,0001
4500090618,3000,FO,100003,2000,001,2024-10-12,EUR,0001
4500090619,2000,ZSER,100013,2000,004,2024-01-29,AED,NT30
4500090620,2000,FO,100018,2000,002,2025-07-01,EUR,0001
4500090621,3000,FO,100018,1000,003,2024-12-11,EUR,NT60
4500090622,3000,ZSER,100022,1000,004,2025-05-06,USD,NT30
4500090623,3000,NB,100055,1000,001,2025-09-24,AED,NT30
4500090624,1000,ZSER,100016,2000,001,2024-09-20,AED,NT45
4500090625,2000,ZSER,100009,2000,003,2024-01-26,EUR,NT60
4500090626,1000,ZSER,100024,1000,004,2025-08-19,AED,NT30
4500090627,3000,ZSER,100035,1000,001,2025-03-04,AED,0001
4500090628,2000,ZSER,100023,1000,003,2024-03-22,AED,0001
4500090629,1000,ZSER,100037,2000,003,2025-11-12,EUR,NT60
4500090630,3000,NB,100036,1000,004,2025-05-21,USD,NT45
4500090631,1000,NB,100047,2000,001,2024-04-13,AED,NT45
4500090632,2000,NB,100057,2000,002,2025-03-08,AED,NT60
4500090633,1000,ZSER,100038,1000,001,2025-09-23,AED,NT60
4500090634,3000,FO,100023,2000,003,2025-11-21,EUR,NT45
4500090635,3000,ZSER,100009,1000,004,2024-02-12,AED,NT60
4500090636,1000,ZSER,100048,2000,002,2024-04-18,USD,NT45
4500090637,2000,ZSER,100023,2000,004,2024-07-27,AED,NT45
4500090638,2000,NB,100046,2000,003,2024-03-17,EUR,NT30
4500090639,2000,NB,100008,1000,003,2025-08-23,EUR,NT45
4500090640,3000,FO,100044,1000,003,2024-09-26,EUR,NT45
4500090641,2000,NB,100026,2000,001,2025-04-02,USD,0001
4500090642,2000,NB,100032,2000,003,2024-08-08,AED,NT60
4500090643,2000,NB,100039,1000,001,2025-09-17,EUR,NT30
4500090644,1000,FO,100014,2000,004,2024-10-24,USD,NT45
4500090645,2000,FO,100006,1000,002,2025-05-28,EUR,NT60
4500090646,2000,ZSER,100017,2000,002,2024-05-06,AED,NT60
4500090647,1000,ZSER,100026,1000,001,2024-01-21,AED,0001
4500090648,2000,ZSER,100012,2000,004,2024-04-12,EUR,0001
4500090649,3000,ZSER,100018,1000,004,2025-12-20,USD,0001
4500090650,1000,NB,100006,2000,002,2025-07-28,USD,NT45
4500090651,1000,ZSER,100017,2000,004,2025-12-07,EUR,NT45
4500090652,1000,NB,100047,2000,001,2024-05-04,USD,0001
4500090653,1000,NB,100036,2000,002,2025-10-27,AED,NT60
4500090654,2000,ZSER,100004,1000,002,2024-01-06,AED,NT30
4500090655,2000,ZSER,100046,2000,003,2024-11-09,AED,NT45
4500090656,3000,NB,100011,1000,004,2024-09-26,EUR,NT60
4500090657,2000,FO,100042,1000,002,2025-04-28,AED,0001
4500090658,3000,NB,100044,2000,003,2024-09-13,USD,NT30
4500090659,2000,ZSER,100012,1000,001,2025-03-28,AED,NT60
4500090660,3000,NB,100016,1000,004,2024-10-07,AED,0001
4500090661,3000,NB,100028,2000,001,2025-10-14,AED,NT60
4500090662,3000,NB,100046,2000,004,2025-01-10,AED,NT30
4500090663,1000,FO,100017,1000,003,2024-03-26,AED,NT45
4500090664,1000,FO,100046,1000,002,2024-03-29,USD,NT45
4500090665,1000,ZSER,100011,2000,004,2024-10-12,USD,NT45
4500090666,3000,NB,100053,1000,004,2025-10-08,USD,NT45
4500090667,3000,NB,100033,2000,002,2025-11-05,EUR,NT60
4500090668,1000,FO,100057,2000,002,2024-04-12,EUR,NT45
4500090669,3000,FO,100044,2000,002,2025-03-21,EUR,NT60
4500090670,3000,ZSER,100010,1000,002,2024-11-03,USD,NT60
4500090671,1000,FO,100029,1000,002,2025-02-09,USD,NT45
4500090672,1000,FO,100010,2000,002,2024-12-18,EUR,0001
4500090673,1000,NB,100042,1000,002,2025-08-23,EUR,NT60
4500090674,1000,FO,100024,1000,003,2025-10-31,EUR,0001
4500090675,1000,ZSER,100010,2000,004,2024-11-22,USD,0001
4500090676,2000,ZSER,100027,1000,002,2025-06-28,USD,NT60
4500090677,2000,FO,100043,2000,003,2025-01-13,USD,NT60
4500090678,3000,ZSER,100046,2000,002,2024-02-07,USD,NT30
4500090679,2000,FO,100057,1000,004,2024-10-08,USD,NT30
4500090680,1000,ZSER,100025,2000,001,2024-01-23,EUR,NT30
4500090681,2000,NB,100023,2000,003,2025-08-10,AED,NT45
4500090682,2000,NB,100038,1000,002,2025-10-12,USD,NT60
4500090683,2000,ZSER,100034,1000,003,2025-02-02,EUR,NT60
4500090684,2000,ZSER,100005,2000,001,2025-10-08,USD,NT60
4500090685,3000,ZSER,100048,2000,002,2024-10-17,EUR,NT45
4500090686,2000,FO,100026,2000,001,2025-09-05,AED,NT60
4500090687,3000,FO,100024,2000,004,2025-08-17,USD,NT30
4500090688,1000,NB,100020,2000,001,2025-09-16,EUR,NT30
4500090689,2000,NB,100036,2000,002,2025-04-17,USD,0001
4500090690,3000,NB,100015,1000,001,2025-04-18,AED,0001
4500090691,2000,FO,100049,2000,004,2024-02-10,USD,NT30
4500090692,2000,NB,100058,2000,001,2024-09-05,EUR,NT30
4500090693,3000,FO,100036,2000,002,2025-01-06,AED,NT60
4500090694,3000,ZSER,100023,2000,004,2025-06-04,AED,NT45
4500090695,1000,ZSER,100057,1000,003,2025-01-23,USD,NT60
4500090696,1000,ZSER,100036,1000,002,2025-10-15,EUR,NT30
4500090697,3000,NB,100011,1000,004,2025-12-07,USD,NT30
4500090698,1000,ZSER,100030,1000,003,2025-04-20,AED,NT30
4500090699,1000,ZSER,100019,2000,001,2025-08-05,AED,0001
4500090700,1000,FO,100031,2000,003,2025-10-08,AED,NT60
4500090701,1000,NB,100030,1000,004,2025-05-22,AED,NT60
4500090702,1000,NB,100012,2000,003,2024-04-21,EUR,0001
4500090703,1000,NB,100009,2000,002,2024-11-27,USD,NT45
4500090704,2000,FO,100053,2000,004,2024-11-18,EUR,NT30
4500090705,3000,ZSER,100020,1000,002,2025-07-25,AED,0001
4500090706,3000,ZSER,100015,2000,001,2024-10-13,USD,NT30
4500090707,3000,FO,100055,1000,001,2024-06-03,EUR,NT45
4500090708,2000,ZSER,100020,1000,002,2025-01-04,EUR,0001
4500090709,3000,FO,100008,2000,004,2024-05-02,EUR,NT30
4500090710,3000,FO,100032,2000,003,2024-11-30,AED,NT30
4500090711,3000,NB,100034,2000,002,2024-06-11,USD,0001
4500090712,1000,FO,100047,2000,001,2025-03-18,AED,0001
4500090713,3000,ZSER,100054,2000,004,2024-08-16,AED,NT45
4500090714,1000,ZSER,100020,1000,002,2024-11-18,EUR,NT45
4500090715,2000,ZSER,100012,1000,001,2024-07-29,USD,NT30
4500090716,3000,FO,100013,2000,003,2024-04-02,AED,NT30
4500090717,3000,ZSER,100001,2000,001,2024-10-08,USD,NT45
4500090718,2000,FO,100055,2000,002,2025-11-07,EUR,NT45
4500090719,1000,FO,100001,2000,003,2025-05-24,EUR,NT60
4500090720,2000,NB,100047,2000,002,2024-05-27,USD,NT30
4500090721,2000,FO,100007,2000,002,2025-05-02,AED,NT30
4500090722,1000,ZSER,100012,1000,002,2024-05-08,USD,NT30
4500090723,1000,ZSER,100014,2000,003,2024-09-13,AED,0001
4500090724,3000,NB,100000,1000,002,2024-05-26,EUR,NT60
4500090725,2000,FO,100040,1000,004,2025-08-14,AED,NT60
4500090726,2000,NB,100048,2000,004,2025-06-15,AED,NT30
4500090727,2000,ZSER,100019,1000,002,2025-04-08,EUR,NT45
4500090728,3000,NB,100055,2000,002,2025-06-27,AED,NT45
4500090729,2000,NB,100054,2000,003,2024-07-26,EUR,0001
4500090730,1000,FO,100030,1000,004,2024-06-13,EUR,NT45
4500090731,1000,NB,100037,2000,002,2025-11-19,AED,NT60
4500090732,1000,NB,100039,2000,003,2025-04-10,USD,0001
4500090733,1000,ZSER,100055,2000,004,2025-01-06,EUR,NT30
4500090734,2000,FO,100040,2000,003,2025-06-04,USD,NT30
4500090735,2000,NB,100027,2000,004,2025-11-12,AED,0001
4500090736,1000,NB,100006,1000,003,2025-08-12,AED,0001
4500090737,1000,ZSER,100018,2000,003,2025-02-26,EUR,NT60
4500090738,2000,NB,100020,2000,001,2025-02-14,EUR,NT60
4500090739,2000,NB,100040,2000,004,2024-07-09,EUR,NT60
4500090740,3000,ZSER,100005,2000,003,2025-12-29,USD,NT60
4500090741,2000,NB,100009,2000,002,2025-11-14,AED,NT45
4500090742,2000,ZSER,100030,1000,004,2025-03-25,USD,0001
4500090743,3000,NB,100015,1000,004,2025-07-05,AED,NT60
4500090744,1000,FO,100041,2000,001,2025-07-21,EUR,0001
4500090745,3000,ZSER,100016,2000,004,2024-01-29,AED,NT45
4500090746,2000,ZSER,100003,1000,001,2025-12-30,AED,NT30
4500090747,2000,NB,100024,2000,002,2025-12-14,USD,NT60
4500090748,3000,FO,100028,1000,001,2024-04-06,AED,NT30
4500090749,3000,FO,100012,1000,002,2025-10-13,EUR,NT30
4500090750,1000,ZSER,100001,1000,003,2025-09-29,EUR,NT30
4500090751,2000,NB,100053,1000,003,2025-02-02,USD,NT60
4500090752,3000,ZSER,100051,1000,001,2025-11-06,AED,NT60
4500090753,2000,FO,100039,2000,001,2025-02-02,AED,NT30
4500090754,1000,FO,100034,2000,002,2024-01-29,EUR,NT30
4500090755,1000,ZSER,100002,1000,003,2025-01-25,USD,NT45
4500090756,3000,ZSER,100043,2000,002,2025-08-07,AED,NT60
4500090757,1000,NB,100040,2000,001,2024-04-27,USD,NT60
4500090758,1000,FO,100016,1000,001,2024-04-21,AED,0001
4500090759,3000,NB,100011,1000,004,2024-03-26,AED,NT60
4500090760,1000,ZSER,100022,1000,004,2025-04-18,EUR,NT45
4500090761,1000,ZSER,100035,2000,001,2024-06-13,USD,NT30
4500090762,1000,ZSER,100048,1000,001,2025-10-05,AED,0001
4500090763,2000,FO,100040,1000,003,2024-06-27,AED,NT30
4500090764,2000,FO,100029,2000,002,2025-01-07,AED,NT45
4500090765,2000,NB,100023,2000,002,2025-10-21,EUR,NT30
4500090766,3000,NB,100024,2000,002,2025-08-04,AED,0001
4500090767,3000,ZSER,100059,1000,001,2025-09-19,USD,NT30
4500090768,2000,FO,100054,1000,002,2024-04-02,USD,NT60
4500090769,3000,NB,100030,2000,003,2024-12-12,USD,NT45
4500090770,3000,NB,100044,1000,002,2024-10-14,EUR,NT30
4500090771,3000,ZSER,100010,2000,004,2024-01-21,AED,NT45
4500090772,2000,FO,100012,1000,003,2025-10-11,AED,0001
4500090773,1000,ZSER,100023,2000,001,2024-09-15,EUR,NT60
4500090774,2000,ZSER,100047,1000,003,2025-11-03,AED,NT30
4500090775,3000,FO,100002,2000,003,2025-12-12,EUR,0001
4500090776,1000,NB,100051,1000,002,2024-05-11,EUR,NT30
4500090777,1000,NB,100055,2000,003,2025-09-24,AED,NT30
4500090778,1000,NB,100059,1000,001,2024-03-24,EUR,NT45
4500090779,3000,NB,100031,2000,003,2025-09-11,AED,NT30
4500090780,2000,ZSER,100040,2000,003,2025-08-29,USD,0001
4500090781,1000,ZSER,100039,2000,001,2025-03-16,AED,NT30
4500090782,2000,FO,100023,2000,002,2025-05-26,USD,NT45
4500090783,2000,FO,100059,2000,002,2025-02-16,USD,0001
4500090784,1000,FO,100021,2000,002,2024-07-21,EUR,NT60
4500090785,1000,NB,100003,2000,004,2024-12-27,AED,NT60
4500090786,3000,FO,100010,2000,001,2024-12-12,AED,NT45
4500090787,2000,ZSER,100044,2000,003,2024-08-27,AED,NT60
4500090788,1000,FO,100036,1000,004,2025-04-26,USD,NT60
4500090789,2000,FO,100017,1000,003,2024-03-09,AED,NT45
4500090790,3000,NB,100020,1000,001,2025-09-11,EUR,NT30
4500090791,1000,FO,100016,1000,001,2024-07-28,AED,0001
4500090792,2000,ZSER,100028,1000,004,2025-10-02,EUR,NT30
4500090793,2000,ZSER,100023,2000,001,2024-05-25,AED,0001
4500090794,1000,NB,100031,1000,001,2024-03-06,AED,NT45
4500090795,1000,ZSER,100025,2000,004,2025-07-12,AED,NT45
4500090796,1000,ZSER,100014,1000,001,2024-09-02,AED,NT45
4500090797,1000,ZSER,100004,1000,002,2024-02-11,USD,0001
4500090798,2000,NB,100032,1000,001,2024-06-17,AED,NT60
4500090799,3000,ZSER,100028,2000,002,2025-09-09,USD,NT30
4500090800,3000,ZSER,100012,2000,002,2025-08-06,AED,NT60
4500090801,3000,FO,100031,2000,004,2025-02-01,AED,NT45
4500090802,1000,FO,100010,1000,002,2024-04-09,EUR,NT60
4500090803,2000,NB,100057,2000,004,2024-05-02,USD,NT30
4500090804,3000,ZSER,100015,2000,003,2025-04-11,USD,0001
4500090805,2000,FO,100001,2000,004,2024-02-08,USD,NT30
4500090806,1000,FO,100018,1000,003,2025-05-05,USD,NT45
4500090807,3000,ZSER,100042,1000,003,2025-01-15,AED,NT60
4500090808,2000,ZSER,100041,1000,001,2025-04-22,EUR,NT45
4500090809,1000,ZSER,100032,1000,001,2025-07-11,EUR,NT45
4500090810,2000,ZSER,100014,2000,001,2025-08-13,USD,0001
4500090811,2000,FO,100019,1000,001,2024-09-04,USD,NT30
4500090812,2000,FO,100004,1000,004,2024-03-09,EUR,0001
4500090813,3000,ZSER,100019,2000,001,2025-03-14,AED,0001
4500090814,3000,NB,100030,2000,003,2025-01-27,AED,0001
4500090815,3000,NB,100030,1000,002,2024-09-15,AED,NT30
4500090816,2000,NB,100059,1000,004,2025-06-02,EUR,0001
4500090817,2000,NB,100011,1000,003,2025-04-07,AED,NT60
4500090818,2000,ZSER,100014,1000,001,2025-12-31,USD,NT45
4500090819,3000,NB,100023,2000,004,2025-10-12,USD,NT60
4500090820,2000,ZSER,100042,2000,003,2024-07-20,EUR,NT30
4500090821,2000,NB,100025,1000,001,2024-01-12,AED,NT60
4500090822,1000,NB,100055,2000,004,2025-05-06,EUR,NT45
4500090823,1000,ZSER,100054,1000,002,2024-03-13,USD,0001
4500090824,2000,NB,100053,2000,004,2025-10-02,USD,0001
